Nom Text,Latin Translation
渚 誇 才 色 捤 摓 爫 之,chớ khoe tài sắc vẫy vùng làm chi
𧊉 浪 惵 意 順 情,bướm rằng đẹp ý thuận tình
唒 肝 鉄 𥒥 拱 停 朱 衝,dẫu gan sắt đá cũng đành cho xong
𢧚 空 決 罕 停 空,nên không quyết hẳn đành không
事 𠇮 麻 吏 柁 𢚸 𠳨 埃,sự mình mà lại đà lòng hỏi ai
花 浪 坦 𢌌 𡗶 高,hoa rằng đất rộng trời cao
風 情 固 少 之 尼 風 情,phong tình có thiếu gì nơi phong tình
㐌 浪 牢 固 修 行,đã rằng sao có tu hành
牢 麻 𠹾 庫 芒 經 旦 厨,sao mà chịu khó mang kinh đến chùa
悴 情 仍 丐 蜉,xót tình những cái phù
𠄼 更 刻 快 𣎀 秋 吏 𠫅,năm canh khắc khoái đêm thu lại giầy
𧊉 浪 呐 吏 朱,bướm rằng nói lại cho
悲 𣉹 𢚸 㐌 别 𢚸,bây giờ lòng đã biết lòng
固 如 𣅶 𨔍 𢚸 渚 悁,có như lúc lạ lòng chưa quen
吝 戈 䏾 桂 㙴,lần qua bóng quế thềm
𢪀 𠇮 想 客 鍾 𠊛 知 音,nghĩ mình tưởng khách chung người tri âm
惜 台 花 沛 葛 淋,tiếc thay hoa phải cát lầm
𥋸 𦎛 司 馬 麻 𠰃 埃 喂,sôi gương tư mã mà nhồm ai ơi
愁 辰 埃 强 爫,sầu thời ai gượng làm
塘 咹 黙 𠤆 𡮍 奢 華,đường ăn mặc chớ chút xa hoa
𢚸 尼 空 想 怒 箕,lòng này không tưởng nọ kia
时 停 木 漠 圭 世 麻,thời đành mộc mạc quê thế mà
矯 欺 月 𠸍 花 唭 拯 咍,kẻo khi nguyệt mỉa hoa cười chẳng hay
花 浪 悁 㗂 渃 尼,hoa rằng quen tiếng nước này
事 情 𠬠 帝 𠬠 低 之,sự tình một đấy một đây gì
𥉫 𠊛 𥪝 揊 樸,trông người trong bức phác
女 才 價 意 當 辰 成 包,nữ tài giá ấy đáng thì thành bao
債 𠊚 宮 禁 楼 高,trách người cung cấm lâu cao
祸 𤊰 待 㤕 芇 女 催,hoạ bén được chút nào nữa thôi
於 𢖮 沛 蹺 吒,ở ắt phải theo cha
居 光 㐌 𠇍 𨑗 𠁀,cư quang đã mấy trên đời
唒 花 𥉫 𧡊 拱 派 牟 紅,dẫu hoa trông thấy cũng phai mầu hồng
群 庒 客 於 𡽫 𤂧,còn chăng khách ở non bồng
典 欺 嫁 半 時 些 蹺 𫯳,đến khi gả bán thì ta theo chồng
顔 色 形 容 澄,nhan sắc hình dung chừng
𠸠 朋 縁 分 龍 冬,ví bằng duyên phận long đong
鳳 凰 牢 塊 細 𣘃 𥟊 垌,phượng hoàng sao khỏi tới cây ngô đồng
𧊉 浪 𨖲 𠳨 宮 𦝄,bướm rằng lên hỏi cung trăng
固 欺 拱 摱 赤 绳 車 緣,có khi cũng mượn xích thằng xe duyên
蹺 𡥵 朱 凭 𬌓 𢚸 坚 貞,theo con cho vững tấm lòng kiên trinh
𠳒 凣 𠳨 寔 客 仙,lời phàm hỏi thực khách tiên
奉 蜍 𠄩 布 媄 𨉟,phụng thờ hai bố mẹ mình
圭 𠸜 根 原 世 芇,quê tên căn nguyên thế nào
欺 𣋚 欺 𣌋 𠰘 𫅜 𠰘 唁,khi hôm khi sớm miếng lành miếng ngon
𣘃 徐 㭲 渃 徐 源,cây từ gốc nước từ nguồn
㤙 餒 義 𠰺 𫢩 群 𢖵 空,ơn nuôi nghĩa dạy nay còn nhớ không
㐌 朝 𠰘 吏 朝 𢚸,đã chiều miệng lại chiều lòng
𢝙 咍 𩈘 意 和 窮 㗂 箕,vui thay mặt ấy hoà cùng tiếng kia
𤯩 時 腰 敬 每 皮,sống thời yêu kính mọi bề
𣩂 時 傷 㤕 𠤆 兮 悁 恩,chết thời thương xót chớ hề quên ơn
奉 蜍 媄 𤴪 周 諄,phụng thờ mẹ ghẻ chu chuân
當 干 平 地 波 濤,đương cơn bình địa ba đào
拱 𥋳 如 𠎬 慈 親 生 𨉟,cũng coi như đấng từ thân sinh mình
𠫾 麻 吏 尋 𠓨 旦 低,đi mà lại tìm vào đến đây
催 停 想 𩙌 𥉫 𩄲,thôi đừng tưởng gió trông mây
姉 㛪 𡨸 情,chị em chữ tình
順 和 𨤰 沛 争 伶 咍 兜,thuận hoà nhẽ phải tranh giành hay đâu
絲 秦 𥿗 晋 產 低 朱 耒,tơ tần chỉ tấn sẵn đây cho rồi
花 浪 呐 拯 料 𠳒,hoa rằng nói chẳng liệu lời
縁 𠊚 吏 固 縁 𡗶 㵋 𢧚,duyên người lại có duyên trời mới nên
仕 𪨀 初 𣅶 𧴤 𠸜,sẩy chút xưa lúc bói tên
准 空 辰 准 願 庒 衝,chốn không thì chốn nguyền chẳng xong
𣅶 於 默 䋥 𪀄 鴻,lúc ưa mắc lưới chim hồng
埃 咍 必 宰 别 𥪝 机 𡗶,ai hay tất tưởi biết trong cơ trời
𦎛 塵 𥙩 帝 麻 𥋸,gương trần lấy đấy mà soi
料 牢 朱 沛 𨑗 𠁀 買 饒,liệu sao cho phải trên đời mấy nhau
𧊉 浪 𦋦 之 𥹰,bướm rằng ra chi lâu
催 停 迡 𫏾 邀 𡢐 女 情,thôi đừng trì trước yêu sau nữa tình
節 皮 蓮 𦬶 桃 絲,tiết vừa sen ngó đào tơ
𩙌 春 海 香 迻 𠃣 𡗉,gió xuân hây hương đưa ít nhiều
題 詩 吏 𢪀 𤾓 朝,đề thơ lại nghĩ trăm chiều
𧡊 𡗶 坦 吏 勉 腰 每 塘,thấy giơì đất lại mến yêu mọi đường
𠊛 䑓 閣 几 衡,người đài các kẻ hành
𠊛 精 武 略 几 詳 文 韜,người tinh vũ lược kẻ tường văn thao
𠊛 耕 牧 几 漁 樵,người canh mục kẻ ngư tiều
𠊛 醝 道 几 腰 才 情,người say đạo kẻ yêu tài tình
如 富 濁 与 貧 清,như phú trọc dữ bần thanh
庒 戈 造 物 磋 情 性 朱,chẳng qua tạo vật xây tình tính cho
唭 台 事 柴 修,cười thay sự thầy tu
𪩪 經 最 偈 爫 愚 䐘 𠁀,sớm kinh tối kệ làm ngu vẹn đời
厨 初 𦖑 固 尼,chùa xưa nghe có nơi
庒 松 林 拱 窒 潙 清 光,chẳng tùng lâm cũng rất vời thanh quang
𨕭 上 殿 𠁑 行 廊,trên thượng điện dưới hành lang
各 座 𦬑 觥 墻 花 浰,các tòa nở quanh tường hoa rơi
椿 嘹 竹 化 隊 尼,thông reo trúc hóa đòi nơi
𫔳 慈 易 遣 胣 𠊛 絲 紅,cửa từ dễ khiến giạ người tơ hồng
女 牢 塊 㗂,nữa sao khỏi tiếng
決 𢚸 𣘈 鉄 底 名 𥪝 𠁀,quyết lòng son sắt để danh trong đời
香 皮 外,hương vừa ngoài
𥋷 𥉫 㐌 𧡊 𠊛 情 鍾,nhác trông đã thấy người tình chung
月 花 堆 𡨸 憹,nguyệt hoa đôi chữ nùng
庒 符 𧆄 㐌 迷 𢚸 杏 春,chẳng bùa thuốc đã mê lòng hạnh xuân
花 浪 𣷭 愛 源 恩,hoa rằng bể ái nguồn ân
計 牢 朱 掣 餒 塘 𨤮 賖,kể sao cho xiết nỗi đường dậm xa
庒 生 拱 㗂 𬁖 沙,chẳng xinh cũng tiếng sao sa
庒 𦹳 拱 世 花 㭌 艚,chẳng thơm cũng thể hoa ngưu tầu
㐌 算 用 斫 𪽋 侯,đã toan dụng chước lưu hầu
双 離 菓 𣷭 溇 坤 𨃝,song le quả bể sâu khôn giò
固 埃 别 餒 尼 朱,có ai biết nỗi này cho
𠬠 𨉓 強 𢪀 強 𢗼 添 強,một mình càng nghĩ càng lo thêm càng
責 埃 牢 拯 料 塘,trách ai sao chẳng liệu đường
𬁖 才 低 曲 江 狹 回,sao tài đây khúc giang hẹp hòi
芇 𣷭 𢌌 滝 𨱽,nào bể rộng sông dài
少 之 竜 鳳 約 願,thiếu gì long phượng ước nguyền
隻 船 杜 𣷷 容 营,chiếc thuyền đỗ bến dung dinh
徐 朱 特 客 鍾 情 𨀈 𫥨,chờ cho được khách chung tình bước ra
𧊉 浪 此 𡑰 花,bướm rằng thử vườn hoa
戈 𨔈 風 景 䀡 𫥨 世 芇,qua chơi phong cảnh xem ra thế nào
吨 低 固 客 媽 桃,đồn đây có khách má đào
朱 𢧚 𠇍 沛 尋 𠓨 典 低,cho nên mấy phải tìm vào đến đây
悲 𣉹 鵉 鳳 逞 排,bây giờ loan phượng sánh bầy
桃 東 㦖 𠳨 柳 西 𠳒,đào đông muốn hỏi liễu tây lời
𢪀 牢 唉 客 章 臺,nghĩ sao hỡi khách chương đài
些 𫢩 仍 几 𠊚 才 名,ta nay những kẻ người tài danh
爫 𢧚 功 業 齊 𡗶,làm nên công nghiệp tầy giời
史 撑 群 劄 𠰘 𠁀 群 碑,sử xanh còn chép miệng đời còn bia
𣇫 𠸗 固 没 聖 兒,thuở xưa có một thánh nhi
𠸜 𪜀 𣱆 𪜀 空,tên là họ là không
女 才 聘 𠇍 朱 生,nữ tài sánh mấy chu sinh
如 𩙌 如,như gió như
𢪀 牢 朱 院 𤾓 塘,nghĩ sao cho vẹn trăm đường
拯 涅 𥒥 派 鐄 麻 催,chẳng nát đá phai vàng mà thôi
𢪀 浪 𢝙 丕 麻 𨔈,nghĩ rằng vui vậy mà chơi
㐌 𨔈 固 少 之 尼 有 情,đã chơi có thiếu gì nơi hữu tình
埃 喂 渚 倍 誇 𠇮,ai ơi chớ vội khoe mình
春 群 𡗋 几 才 名 𨔍 𠁀,xuân còn lắm kẻ tài danh lạ đời
英 㛪 義 𨱽,anh em nghĩa dài
空 調 執 責 固 勾 和 諧,không đều chấp trách có câu hoà hài
呐 爫 𢗖 磊 𢫝 𨱽,nói làm nhầm lỗi dong dài
𢚸 𥪝 𢧚 忍 𩈘 外,lòng trong nên nhẫn mặt ngoài
媄 吒 腰 恄 空 斤,mẹ cha yêu ghét không cân
停 誇 𢚁 𠤆 分 皮 麻,đừng khoe cậy chớ phân bì mà
擬 𥪝 𧖱 𧗅 𦛌 𫅷,nghĩ trong máu mủ nuột nà
丕 䀡 錢 𧵑 𪽣 如 空,vậy xem tiền của ruộng như không
勤 時 𫽄 旦 餒 窮,cần thời chẳng đến nỗi cùng
𢧚 𤯺 能 世 停 𢫝 制,nên siêng năng thế đừng dong chơi
儉 時 𫽄 旦 餒 𬥣,kiệm thời chẳng đến nỗi nghèo
英 㛪 喂,anh em ơi
英 㛪 喂,anh em ơi
𢧚 秦 便 世 停 消 荒 咦,nên tần tiện thế đừng tiêu hoang gì
搓 運 局 世,xoay vần cuộc thế
景 厨 殿 怒 停 𠫾,cảnh chùa đền nọ đừng đi
𢬱 機 𡗶,khép cơ giời
童 骨 意 停 迷 麻 𣈙,đồng cốt ấy đừng mê mà rầy
𤇮 停 底 㴜 空 咍,bếp đừng để bẩn không hay
𢪀 朱 歇,nghĩ cho hết
粓 淶 𥺊 擺 抇 𣦍 倍 傍,cơm rơi gạo vãi nhặt ngay vội vàng
坤 買 咹 𠊛,khôn mới ăn người
㳥 𧡟 爭 来 𣼽 環 球 𠊚 闷 怒,sóng cạnh tranh lai láng hoàn cầu người muốn nọ
𡛔 𤳇 𡎥 𠤆 鐘 床,gái trai ngồi chớ chung giường
迻 咦 抵 帝 𫽄 常 𢭂 𢬣,đưa gì để đấy chẳng thường trao tay
𨉟 麻 拱 讓 𠊛,mình mà cũng nhường người
敬 皮 歲 作 腰 類 疎 癡,kính bề tuổi tác yêu loai thơ ngây
塘 交 涉 𫼳 𨕭 大 陸,đường giao thiệp mang trên đại lục
㗂 湖 仍 渃 群 潙,tiếng hồ nhưng nước còn vơi
花 蓮 㐌 沛 葛 淋,hoa sen đã phải cát lầm
槾 桃 妬 沛 渃,mận đào đó phải nước
妬 群 𢧚 價 買 𤾓 澄,đó còn nên giá mấy trăm chừng
花 𦖑 咳 𡂱 如,hoa nghe cay đắng như
愁 𥢆 吏 底 朝 𦝄 𥙩 𢚸,sầu riêng lại để chiều trăng lấy lòng
催 催 𢪀 吏 朱 穷,thôi thôi nghĩ lại cho cùng
景 情 兑 典 𪀄 篭 買,cảnh tình đoái đến chim lồng mấy
之 𦑃 花 桃,gì cánh hoa đào
㗂 𧵆 賖 𧘇 覩 𠓨 朱 埃,tiếng gần xa ấy đổ vào cho ai
否 戈 催 𨅸 吏 𡎢,bũa qua thôi đứng lại ngồi
汫 台 於 𫏾 前 堂,giếng hay ở trước tiền đường
脉 𣻆 琥 珀 渃 羕 水 晶,mạch tuôn hổ phách nước dường thủy tinh
𢪀 𣳮 瀝 塵 情,nghĩ rửa sạch trần tình
𨆝 凡 牢 俸 趂 觥 景 纒,gối phàm sao bỗng sấn quanh cảnh chiền
花 唭 月 哏 亇 沉 㕍 沙,hoa cười nguyệt hẹn cá trầm nhạn sa
𨕭 明 蕩 外 軒,trên mừng đãng ngoài hiên
占 包 魂 梅 𥊚 𥇀,chiêm bao hồn mai mơ màng
朝 清 新 那,chiều thanh tân nà
𧊉 浪 倍 鐄,bướm rằng vội vàng
催 停 𥙩 每 塘 庒 𢧚,thôi đừng lấy mọi đường chẳng nên
𢖵 之 欣 女 𢖵 縁,nhớ gì hơn nữa nhớ duyên
𪩪 供 果 𤼸 花 隊 𣈗,sớm cúng quả giâng hoa đòi ngày
𠦳 鐄 渚 易 覩 𡊰 𢚸,nghìn vàng chưa rể đủ đền lòng
固 香 䏾 𦝄 𧷺,có hương bóng trăng tròn
師 占 俸 鄭 念 西,sư xem bỗng trạnh niềm tây
滝 銀 渚 北 衝 梂,sông ngân chưa bác xong cầu
意 醝 味 道 机 禅,ấy say vị đạo cơ thuyền
𦛌 蟳 𠃩 曲 𤋵 油 如 汙,ruột tằm chín khúc giãi giầu như vo
強 𦖑 猿 唿 強 愁,càng nghe vượn hót càng sầu
魂 枚 魄 桂 矧 疎,hồn mai phách quế thẩn thơ
聀 鐄 𧊉 㕸,giấc vàng bướm rắp
挨 𨕭 摱 𠳨 𦝄 𫅷,ai lên mượn hỏi trăng già
縁 初 固 世 尼,duyên xưa có thế này
箕 朱 蒂 陳 低 仍 𠊛,kia chu đấy trần đây những người
為 埃 禁 𩙌 垠 滝,vi ai cấm gió ngân sông
爫 朱 牛 女 𡗶 蒙 𨖅 求,làm cho ngưu nữ trời mong sang cầu
欺 彈 六,khi đàn lúc
句 傳 初,câu truyện xưa
味 蘭 桂 称 渚,mùi lan quế xứng chưa
朱 𥙩 𨑮,cho lấy mươi
情 𦋦 𥆾,tình ra nhìn
冰 傾 𫢩 待 枚 尋,bâng khuâng nay đợi mai tìm
計 功 别 𠇍 𠦳 功,kể công biết mấy nghìn công
責 埃 拯 院 𡨸 從,trách ai chẳng vẹn chữ tồng
筭 𦖑 英 燕 負 𢚸 故 人,toan nghe anh yến phụ lòng cố nhân
為 堆 𡨸 朱 陳,vì đôi chữ châu trần
當 干 滝 渃 沙,đương cơn sông nước sa
朱 𢧚 晋 埕 秦 𣼽,cho nên tấn chình tần lẳng
𢶢 樔 吏 妬 庒 戈 為 情,chống sào lại đó chẳng qua vì tình
厨 芇 𫢋 拯 䧏 生,chùa nào phật chẳng giáng sinh
花 𦹳 埃 拯 梗 麻 𨔈,hoa thơm ai chẳng cành mà chơi
呐 𦋦 芒 㗂 𡗋 𠳒,nói ra mang tiếng lắm lời
淹 𦋦 辰 𢚸 𠊚 世,êm ra thì lòng người thế
𫢩 咹 槾 者 桃,nay ăn mận giả đào
於 𠁀 忠 厚 買 咍,ở đời trung hậu mới hay
斗 摸 斤 半 堆 𢬣 公 平,đấu mua thủng bán đôi tay công bình
𠓀 牢 𡨺 𢚸 誠,trước sau giữ lòng thành
勾 謹 𢯢 𨉟 那,câu cẩn sửa mình na
停 𧵆 仍 几 佞 些,đừng gần những kẻ nịnh ta
停 信 𠳒 呐 讒 坡 麻 𪬃,đừng tin lời nói gièm pha mà ngầy
貪 之 丐 利 𡮈 尼,tham chi cái lợi nhỏ này
求 之 丐 㗂 𠸦 咍 買 𠁀,cầu chi cái tiếng khen hay mấy đời
恨 𢜠 仕 謹 吣 唏,giận mừng sẽ kín tăm hơi
恄 腰 停 固 如 偏 𢚸,ghét yêu đừng có như thiên lòng
㤕 傷 屡 蜆 弹 虫,xót thương lũ kiến đàn trùng
𢜝 𡗶 𫳵 𪾋 負 穷 𫗃 湄,sợ trời sao dám phụ cùng gió mưa
停 用 絏 𡨸 仍 詞,đừng dùng giấy chữ những tờ
箕 𠸜 䝨 聖 包 𣇞 监 輕,kìa tên hiền thánh bao giờ giám khinh
蜍 先 祖 沛 精 誠,chờ tiên tổ phải tinh thành
待 𠊛 侯 下 固 情 寛 容,đãi người hầu hạ có tình khoan dung
𠫾 𣎀 𥙩 𤒘 麻 𢫝,đi đêm lấy đuốc mà giong
𧵑 时 黙 𧵑 𨉟 空 料 𨉟,của thì mặc của mình không liều mình
𢚸 淹 朗 氣 和 平,lòng êm lặng khí hoà bình
恕 𠊛 麻 拱 責 𨉟 買 衝,thứ người mà cũng trách mình mấy xong
𣃣 𣈜 佻 𧺀,vừa ngày đào thắm
皮 外 媒 縁 𥪝 品 平,bề ngoài mối duyên trong phẩm bình
家 風 沛 認 朱 伶,gia phong phải nhận cho rành
吏 䀡 性 與 𫅜 爫 𫳵,lại xem tính dữ lành làm sao
媄 吒 順 奇 𤾓 朝,mẹ cha thuận cả trăm chiều
信 𠫾 信 吏 别 包 工 呈,tin đi tin lại biết bao công trình
丕 唉 客 春 撑,vầy hởi khách xuân xanh
我 沛 呐 底 情 尼 咍,ngã phải nói để tình này hay
爫 之 杏,làm chi hạnh
麻 㳥 花 枚 牟,mà sóng hoa mai màu
芇 滝 𦒹 頭,nào sông sáu đầu
責 埃 牢 庒 𤏣 𢚸,trách ai sao chẳng tỏ lòng
筭 此 英 䧺 特 庒,toan thử anh hùng được chăng
撑 牢 拱 𧗱 棱,xanh sao cũng về rừng
妬 埃 禁 𩙌 停 容 𣘃,đó ai cấm gió đừng dung cây
底 些 覩 愁 朱 衝,để ta đổ sầu cho xong
箕 群 别 𩄲,kia còn biết mây
唒 牢 瑟 拱 攄 琴,dẫu sao sắt cũng lựa cầm
花 浪 咳 客 知 音,hoa rằng hỡi khách tri âm
固 者 情 深 買,có giả tình thâm mấy
閉 𫢩 信 𢭮 書 迻,bấy nay tin gửi thư đưa
爫 之 朱 雁 别 𢚸,làm chi cho nhạn biết lòng
彈 箕 𣅶 𦝄 沖,đàn kia lúc trăng trong
吟 詩 白 雪 打 宮 春 情,ngâm thơ bạch tuyết đánh cung xuân tình
圣 他 圣 如 生,thánh tha thánh như sinh
爫 之 煩 底 情 矧 詩,làm chi phiền để tình thẩn thơ
當 干 𢭸 幅 萌 疎,đương cơn tựa bức mành thưa
花 𦹳 嗷 𠯪 𩙌 迻 冷 𨓡,hoa thơm ngào ngạt gió đưa lạnh lùng
船 埃 箕 待 边 滝,thuyền ai kia đợi bên sông
固 𢚸 渚 客 咍 空 咳 船,có lòng chớ khách hay không hỡi thuyền
𧊉 箕 𨔍 渚 悁,bướm kia lạ chửa quen
𢚸 群 㦖 𠳨 根 原 𠇍 𠳒,lòng còn muốn hỏi căn nguyên mấy lời
船 渚 客 賖 𨔈,thuyền chớ khách xa chơi
空 仍 船 固 棟 尼 𣷷 尼,không nhưng thuyền có đóng nơi bến này
花 箕 群 别 𤊰 𣘃,hoa kia còn biết bén cây
嬋 娟 牢 塊 細 𢬣 英 豪,thuyền quyên sao khỏi tới tay anh hào
箕 染 渃 扶 桃,kia nhuộm nước phù đào
㐌 磋 𢧚 𡶀 别 包 𣉹,đã xây nên núi biết bao giờ
𡦂 情 吏 平 𡽫,chữ tình lại bằng non
春 群 情 群,xuân còn tình còn
𢝙 台 趣 味 清 閒,vui thay thú vị thanh nhàn
人 生 典 世 欣 戾 之,nhân sinh đến thế hơn lệ gì
𠦳 春 義 瀋 情 𥱬,nghìn xuân nghĩa thắm tình ghi
沛 如 咹 於 時 咳 埃,phải như ăn ở thì hỡi ai
花 浪 催 拱 别 𠊚,hoa rằng thôi cũng biết người
爫 之 女 世 唭 𠊚 吱,làm chi nữa thế cười người chê
雪 霜 𢢆 几 𠫾 𧗱,tuyết sương thẹn kẻ đi về
箕 滝 怒 𡶀 𠳒 誓 渚 悁,kìa sông nọ núi lời thề chưa quên
𧊉 浪 碑 鑿 群 𠸜,bướm rằng bia tạc còn tên
埃 麻 負 泊 付 𨕭 紅,ai mà phụ bạc phó trên hồng
悲 𣉹 𢚸 㐌 别 弄,bây giờ lòng đã biết lòng
工 𡗶 拱 𡊰 功 𠊚,công trời cũng đền công người
呐 臭 呐 虎 賖 吹,nói xấu nói hổ xa xôi
䀡 𥪝 賦 意 覩 𠳒 冬 迻,xem trong phú ấy đủ lời đong đưa
𡄎 徐 課 怒 典 𣉹,ngẫm từ thuở nọ đến giờ
𠇍 𠳒 句 𠸠 拯 差,mấy lời câu ví chẳng sai
朱 𢧚 固 達 𠇍 𠳒,cho nên có đặt mấy lời
唒 𠸦 拱 默 唒 唭 庒 牢,dẫu khen cùng mặc dẫu cười chẳng sao
𠊚 芇 種 性 𠊚 芇,người nào giống tính người nào
意 埃 意 𧘇 攄 牢 朱 皮,ý ai ý ấy lựa sao cho vừa
句 𠰘 𩵜 坤 皮,câu miệng cá khôn vừa
達 麻 𠳒 沛 𢜝 埃 吱 唭,đật mà lời phải sợ ai chi cười
傳 尼 劄 事 𠁀,truyện nay chép sự đời
典 欺 從 且 䀡 制 之,đến khi thong thả xem chơi gì
𥠭 𢺹 色 鐄,giống chia sắc vàng
工 役 𨇜 藝 學 藝 𦓿 藝 藝 𠏲,công việc đủ nghề học nghề cầy nghề nghề thợ
蜜 𠃣 𧋆 𡗉 𢪀 𠊚 些 堂 𦋦 飭 𢵋 爭,mật ít ruồi nhiều nghĩ người ta đường ra sức đua tranh
橘 爫 柑 𠹾 在 几 化 悲 𣉹 必 左,quít làm cam chịu tại kẻ hoá bây giờ tất tưởi
琴 𢝙 調 瑟 迢 逸 𦀊,cầm vui điệu sắt giù giặt dây
鸞 鐘 鳳 乍 刼 尼,loan chung phượng chạ kiếp này
縁 𠄩 𡢻 㐌 排 刼 𠸗,duyên hai nợ đã bầy kiếp xưa
𦝄 𫅷 結 𥿗 車 𢇁,trăng già kết chỉ xe tơ
監 昂 𠑕 𩈘 麻 疎 切 𢚸,dám ngang ngửa mặt mà thưa thớt lòng
𣌋 蜍 布 媄 𫯳,sớm thờ bố mẹ chồng
念 朝 尚 䀡 穷 家 親,niềm chiều chuộng xem cùng gia thân
拱 停 債 命 夫 君,cũng đừng trái mệnh phu quân
払 如 𨅸 大 賓 買 羅,chàng như đấng đại tân mới là
姉 㛪 妯 處 朱 和,chị em dâu xử cho hoà
罕 灰 買 住 漫 麻 穷 姑,hẳn hoi mấy chú mặn mà cùng cô
娘 侯 尼 沛 傷 朱,nàng hầu này phải thương cho
𡥵 𫯳 箕 𠤆 𠫅 紆 恄 悭,con chồng kia chớ giày vò ghét ghen
払 麻 虚 𤵺 恍 忏,chàng mà hư dại quàng xiên
几 闷 箕 空 埃 𥠭,kẻ muốn kia không ai giống
𬂙 妬 拱 别 𠊚 𠀧 𠎬 𧵑 𠀧 𩔗,trông đó cũng biết người ba đấng của ba loài
坤 拱 𡗉 𤵺 拱 𡗋,khôn cũng nhiều dại cũng lắm
色 𤽸 色 𧹦 色,sắc trắng sắc đỏ sắc
𡥵 𤤰 𤤰 唒 𡥵 主 主 腰,con vua vua dấu con chúa chúa yêu
埃 拱 𥢆 䏾 𢪀,ai cũng riêng bụng nghĩ
𧵑 英 英 𫼳 𧵑 娘 娘 捇,của anh anh mang của nàng nàng xách
𡎢 空 𧯶 𠹾 底 𢬣 乖,ngồi không há chịu để tay quai
窖 坦 補 荒 𧵑 産 𫼳 𤼸,khéo đất bỏ hoang của sẵn mang dâng
𣘃 𧹦 群 算 陶 歇 㭲,cây đỏ còn toan đào hết góc
埋 台 𡗶 𨇒 干 迷 秩 醒,may thay trời lối cơn mê chợt tỉnh
𨢇 唁 尼 㐌 戈 味,rượu ngon nay đã qua mùi
𤯩 𣩂 疾,sống chết tật
吀 𭈷 曾 𣅶 𠹚 勸 仍 吝,xin ngăn từng lúc van khuyên những lần
