才命窖[MASK], 恄
[MASK]特䋦半奔固利, 忱
[MASK]空達底, 虚
虚空達[MASK], 底
娘[MASK]落用移番, 它
娘它落用移[MASK], 番
[MASK]摳朱連, 強
強摳[MASK]連, 朱
[MASK]險押緣朱陳, 凶
凶險押緣[MASK]陳, 朱
[MASK]忙㗂賒, 吏
吏[MASK]㗂賒, 忙
[MASK]家破家, 冤
冤家[MASK]家, 破
群埃監躇茄女[MASK], 低
群埃[MASK]躇茄女低, 監
急算劍准[MASK], 車
急[MASK]劍准車, 算
空[MASK]渚易麻塘, 仍
空仍[MASK]易麻塘, 渚
[MASK]時拯便坭, 坭
坭時[MASK]便坭, 拯
坭賒[MASK]拯固芇賒, 時
坭賒時拯固[MASK]賒, 芇
固払[MASK]倖茄, 薄
固払薄倖[MASK], 茄
拱親[MASK]拯埃, 戚
[MASK]親戚拯埃, 拱
行[MASK]半州台, 奔
行奔半[MASK]台, 州
舌他固单[MASK]拯兮, 差
[MASK]他固单差拯兮, 舌
[MASK]芇娘拱沛, 世
世[MASK]娘拱沛, 芇
成親耒仕料[MASK]台, 州
成親耒仕料州[MASK], 台
闭[MASK]吏別埃, 埃
[MASK]埃吏別埃, 闭
油滝[MASK]清, 清
油[MASK]清清, 滝
[MASK]油決拯順情, 娘
娘油決拯[MASK]情, 順
債累[MASK]旦, 命
債[MASK]命旦, 累
[MASK]強塢眉咮, 娘
娘強塢眉[MASK], 咮
[MASK]呐強如, 強
強呐強[MASK], 如
娘強[MASK]眉咮, 塢
娘[MASK]塢眉咮, 強
世娘買[MASK]咀嘆, 賒
世娘買賒咀[MASK], 嘆
妾[MASK]燕落弹, 如
[MASK]如燕落弹, 妾
沛弓[MASK]欄, 㐌
[MASK]弓㐌欄, 沛
塘[MASK]并從, 油
[MASK]油并從, 塘
別別[MASK]爫牢, 別
別[MASK]別爫牢, 別
欺閍[MASK]芇, 世
[MASK]閍世芇, 欺
[MASK]埃固所求, 油
油埃固所[MASK], 求
[MASK]盟吀決貝, 心
心盟[MASK]決貝, 吀
[MASK]明固坦固, 証
証明固坦[MASK], 固
信户薄即時攕[MASK], 生
信户薄即[MASK]攕生, 時
茄[MASK]揲灵爭, 撰
茄撰[MASK]灵爭, 揲
達[MASK]瓶香, 桌
達桌瓶[MASK], 香
薄生跪倍[MASK], 傍
薄[MASK]跪倍傍, 生
過願歇城[MASK]土公, 隍
過願[MASK]城隍土公, 歇
[MASK]爫礼絲紅結緣, 幔
幔[MASK]礼絲紅結緣, 爫
[MASK]親買逴船, 成
成親買逴[MASK], 船
順帆吹沔州[MASK], 台
順[MASK]吹沔州台, 帆
船[MASK]杜請台, 皮
船皮杜請[MASK], 台
薄生[MASK]坭每, 尋
薄生尋[MASK]每, 坭
[MASK]茄行院, 拱
拱茄[MASK]院, 行
拱坊半拱[MASK], 奔
拱坊[MASK]拱奔, 半
䀡定價皮[MASK], 耒
[MASK]定價皮耒, 䀡
䋦行沒[MASK]時奔, 㐌
䋦行[MASK]㐌時奔, 沒
摱轎逴[MASK], 娘
[MASK]轎逴娘, 摱
薄薄劍塘[MASK]賒, 朱
薄薄[MASK]塘朱賒, 劍
[MASK]花達㙴花, 轎
轎花[MASK]㙴花, 達
迻娘家[MASK], 堂
迻[MASK]家堂, 娘
拱神眉拱坊[MASK]撑, 樓
拱神眉拱坊樓[MASK], 撑
脱娘㐌別[MASK], 情
脱娘㐌[MASK]情, 別
篭坤[MASK]命高, 拮
篭坤拮[MASK]高, 命
㓠吒丐数花[MASK], 桃
㓠吒丐[MASK]花桃, 数
[MASK]情之朱坦慳, 才
才[MASK]之朱坦慳, 情
惜台渃[MASK]打礬, 㐌
惜台渃㐌[MASK]礬, 打
[MASK]朱吏沕吝, 麻
麻朱[MASK]沕吝, 吏
洪[MASK]貝客紅裙, 鈞
[MASK]鈞貝客紅裙, 洪
[MASK]搓旦世群運[MASK]他,渚 㐌
丐身[MASK]仍自茄料, 料
丐身料仍自茄[MASK], 料
頭撑㐌罪情[MASK], 咦
頭撑㐌[MASK]情咦, 罪
[MASK]過姅時渚催, 紅
紅過姅[MASK]渚催, 時
別身拯[MASK], 塊
別[MASK]拯塊, 身
拱料粉朱耒[MASK], 撑
拱料粉[MASK]耒撑, 朱
[MASK]驢沫清, 吝
吝驢沫[MASK], 清
俸兜固客边[MASK], 庭
俸兜固客[MASK]庭, 边
堂堂英[MASK], 豪
[MASK]堂英豪, 堂
棍拳欣飭畧[MASK]才, 韜
棍拳欣飭[MASK]韜才, 畧
隊踏坦[MASK], 於
隊踏[MASK]於, 坦
户徐海本[MASK]東, 越
[MASK]徐海本越東, 户
江湖[MASK]趣捤摓, 悁
[MASK]湖悁趣捤摓, 江
鎌弹[MASK]挭滝棹, 姅
鎌弹姅挭[MASK]棹, 滝
[MASK]㗂娘翹, 戈
戈㗂[MASK]翹, 娘
兒女易漂英[MASK], 雄
兒女易[MASK]英雄, 漂
帖名迻[MASK]楼紅, 旦
帖名迻旦[MASK]紅, 楼
[MASK]浪心腹相期, 徐
徐浪心[MASK]相期, 腹
沛[MASK]噅牢, 勿
[MASK]勿噅牢, 沛
眜撑拯[MASK]埃固空, 底
[MASK]撑拯底埃固空, 眜
身尼群[MASK]䀡埃[MASK]常,爫 監
別兜麻肝[MASK]兜, 腸
別兜[MASK]肝腸兜, 麻
埃朱[MASK]鐄鍮在命, 挸
埃朱挸鐄[MASK]在命, 鍮
徐[MASK]呐有情, 浪
徐浪呐[MASK]情, 有
[MASK]吏勾平原君, 遣
遣吏勾平原[MASK], 君
吏[MASK]䀡吏朱, 低
吏低䀡[MASK]朱, 吏
倣信[MASK]份空, 特
倣[MASK]特份空, 信
浪量奇[MASK]容, 包
[MASK]量奇包容, 浪
晉陽特[MASK]番, 固
晉陽[MASK]固番, 特
身䕯[MASK]煩, 浡
身[MASK]浡煩, 䕯
唭浪[MASK]己歐, 知
[MASK]浪知己歐, 唭
英[MASK]別塵埃買, 䧺
英䧺[MASK]塵埃買, 別
[MASK]別旦些, 㐌
㐌別旦[MASK], 些
鍾駟[MASK]固, 拱
鍾駟拱[MASK], 固
[MASK]意合心投, 边
边[MASK]合心投, 意
欺親拯路[MASK]買親, 求
欺親[MASK]路求買親, 拯
事吘[MASK]冰人, 貝
[MASK]吘貝冰人, 事
[MASK]據原銀照还, 吏
吏據原銀[MASK]还, 照
[MASK]床七宝圍[MASK]八仙,幔 達
英䧺[MASK]娟, 婵
[MASK]䧺婵娟, 英
匪願[MASK]惵緣騎, 鳳
匪願鳳[MASK]緣騎, 惵
姅香[MASK]當濃, 焒
[MASK]香焒當濃, 姅
[MASK]夫脱㐌動方, 丈
丈夫[MASK]㐌動方, 脱
青鎌鞍[MASK]塘, 馭
青鎌[MASK]馭塘, 鞍
[MASK]浪分從, 娘
娘[MASK]分從, 浪
払妾[MASK]決吀, 拱
[MASK]妾拱決吀, 払
徐浪心腑相[MASK], 知
徐浪心[MASK]相知, 腑
[MASK]渚脱塊女[MASK]常情,兒 牢
包萬精[MASK], 兵
包[MASK]精兵, 萬
[MASK]鼙坦旌塘, 㗂
㗂[MASK]坦旌塘, 鼙
[MASK]朱非常, 爫
爫朱非[MASK], 常
闭[MASK]仕逴娘宜家, 些
闭些仕逴娘[MASK]家, 宜
蹺強添絆別[MASK], 兜
[MASK]強添絆別兜, 蹺
[MASK]庄倍咦, 迡
迡庄倍[MASK], 咦
迻鵬[MASK]㐌離, 便
迻鵬便[MASK]離, 㐌
[MASK]自隻窻梅, 娘
娘[MASK]隻窻梅, 自
[MASK]鄧鄧日掑杄, 輸
輸鄧鄧日[MASK]杄, 掑
高[MASK]柳分, 欣
高欣[MASK]分, 柳
魂圭蹺秦賒[MASK], 賒
[MASK]圭蹺秦賒賒, 魂
㤕台萱[MASK], 椿
㤕台[MASK]椿, 萱
群[MASK]㐌䏧瑁霜, 欺
群欺㐌[MASK]瑁霜, 䏧
惜[MASK]義強, 台
惜台[MASK]強, 義
酉離[MASK]群王絲, 意
酉[MASK]意群王絲, 離
緣㛪油[MASK]紅, 綏
緣㛪油綏[MASK], 紅
故國[MASK]鄕, 他
故國他[MASK], 鄕
塘[MASK]餒怒滾[MASK]排排,昂 箕
鴻俸[MASK]撝, 絶
鴻俸絶[MASK], 撝
[MASK]眜方㴷㴷, 㐌
㐌[MASK]方㴷㴷, 眜
焒兵兜㐌喑喑[MASK], 方
焒[MASK]兜㐌喑喑方, 兵
滝鯨[MASK]秩塘甲兵, 鰐
滝[MASK]鰐秩塘甲兵, 鯨
悁属几[MASK], 終
悁属[MASK]終, 几
[MASK]娘唉暫另命坭, 啂
啂娘唉暫[MASK]命坭, 另
娘浪㐌[MASK], 限
娘[MASK]㐌限, 浪
酉[MASK]險監移約, 危
酉危險監移[MASK], 約
群當用賸[MASK]魚, 菫
[MASK]當用賸菫魚, 群
外㐌[MASK]㗂, 旗
[MASK]㐌旗㗂, 外
甲兵[MASK]旦茄, 捁
甲兵捁旦[MASK], 茄
同声共芇[MASK]人, 夫
同声[MASK]芇夫人, 共
边位將[MASK], 軍
[MASK]位將軍, 边
達鎌甲叩[MASK], 頭
[MASK]鎌甲叩頭, 達
宮娥彩[MASK]蹺, 女
宮[MASK]彩女蹺, 娥
浪令旨逴[MASK]歸, 于
浪令[MASK]逴于歸, 旨
産床鳳[MASK]鵉儀, 輦
産床[MASK]輦鵉儀, 鳳
[MASK]冠霞衣焒, 花
花冠霞[MASK]焒, 衣
孕旗[MASK]唐, 浽
孕[MASK]浽唐, 旗
竹絲轎[MASK]捁, 鐄
竹絲[MASK]鐄捁, 轎
火牌[MASK]路毛, 前
火牌前[MASK]毛, 路
南庭[MASK]大营, 動
南[MASK]動大营, 庭
捁[MASK]壘發銃城, 旗
[MASK]旗壘發銃城, 捁
[MASK]公馭親迎外, 徐
徐[MASK]馭親迎外, 公
焒命巾[MASK], 帶
焒[MASK]巾帶, 命
[MASK]群頷燕眉蛾如, 唉
唉群頷燕眉蛾[MASK], 如
[MASK]浪渃緣, 唭
唭浪渃[MASK], 緣
呐仍包[MASK], 空
呐[MASK]包空, 仍
英䧺買別英[MASK], 䧺
英䧺[MASK]別英䧺, 買
䀡倣㐌[MASK]意猪, 甘
䀡倣㐌甘[MASK]猪, 意
拱枚[MASK]特, 葛
拱枚葛[MASK], 特
旦悲[MASK]低, 買
[MASK]悲買低, 旦
麻㐌[MASK]仍, 質
[MASK]㐌質仍, 麻
攔准帳梅敘[MASK], 情
[MASK]准帳梅敘情, 攔
席排[MASK]將犒兵, 賞
[MASK]排賞將犒兵, 席
喑[MASK]陣㕸楽軍, 㗰
[MASK]㗰陣㕸楽軍, 喑
[MASK]花風塵, 榮
榮花風[MASK], 塵
中軍因[MASK], 圍
中[MASK]因圍, 軍
從[MASK]買計傳寒微, 容
從容買計傳[MASK]微, 寒
欺無錫欺[MASK]淄, 臨
欺無錫欺臨[MASK], 淄
坭時倒坭時㤕[MASK], 傷
坭時倒[MASK]時㤕傷, 坭
[MASK]㐌弭羕, 身
身㐌弭[MASK], 羕
[MASK]恩怨堆塘渚双, 群
群[MASK]怨堆塘渚双, 恩
徐[MASK]呐始終, 公
徐公呐[MASK]終, 始
不[MASK]浽陣同同㘇, 平
不平浽陣同[MASK]㘇, 同
[MASK]軍撰將産床, 嚴
嚴軍撰將[MASK]床, 産
旗令倍[MASK], 傍
[MASK]令倍傍, 旗
軍指[MASK]桃, 旗
軍[MASK]旗桃, 指
道無錫[MASK]臨淄, 道
道無錫道[MASK]淄, 臨
照[MASK]追拿查, 名
照名追[MASK]查, 拿
吏差令箭[MASK], 傳
吏差令[MASK]傳, 箭
[MASK]束茄朱安, 户
户束茄朱[MASK], 安
管家娓覺[MASK], 緣
管[MASK]娓覺緣, 家
[MASK]差令箭信逴, 拱
拱差令箭信[MASK], 逴
[MASK]師計歇每, 誓
誓師計[MASK]每, 歇
[MASK]恨執威, 拱
拱恨[MASK]威, 執
[MASK]报復診, 道
道报復[MASK], 診
每我[MASK]坭, 縿
每我縿[MASK], 坭
[MASK]中鎌槊, 軍
軍中鎌[MASK], 槊
衛侍立奇[MASK]双披, 外
衛侍[MASK]奇外双披, 立
産床齊整威[MASK], 儀
産床齊整[MASK]儀, 威
博銅秩[MASK]旌旗, 坦
博銅秩坦[MASK]旗, 旌
[MASK]公貝夫人共, 徐
徐[MASK]貝夫人共, 公
先嚴[MASK]回, 渚
先[MASK]渚回, 嚴
點名引[MASK]外轅, 直
點名[MASK]直外轅, 引
[MASK]浪恩怨堆边, 徐
徐浪恩怨[MASK]边, 堆
墨娘處[MASK]报朱明, 決
墨娘處決报朱[MASK], 明
娘浪閍威[MASK], 灵
娘[MASK]閍威灵, 浪
唉吀[MASK]答恩情[MASK]孚,报 朱
报恩耒仕者[MASK], 讎
报[MASK]耒仕者讎, 恩
徐[MASK]役意底朱默[MASK],浪 娘
數唱束[MASK], 郎
[MASK]唱束郎, 數
[MASK]藍睹命羕, 如
如[MASK]睹命羕, 藍
[MASK]淄払群空, 臨
臨淄払[MASK]空, 群
參商拯院[MASK], 從
參商[MASK]院從, 拯
在埃監負故[MASK], 人
在埃[MASK]負故人, 監
錦綣[MASK]斤, 鉑
錦[MASK]鉑斤, 綣
謝[MASK]稱报恩噲, 易
謝易稱报[MASK]噲, 恩
[MASK]鬼怪精魔, 払
払鬼怪[MASK]魔, 精
番尼几[MASK], 﨤
[MASK]尼几﨤, 番
謀漊忊者溇朱[MASK], 皮
謀漊忊者[MASK]朱皮, 溇
蒲灰[MASK]㐌如湄㵣[MASK],払 潭
[MASK]吏朱埃, 麻
麻吏朱[MASK], 埃
脱迻[MASK]倍, 旦
[MASK]迻旦倍, 脱
花奴箕貝[MASK]泉拱[MASK],濯 碎
鐄渚[MASK]賠傷, 易
鐄渚易[MASK]傷, 賠
鐄[MASK]礼常, 噲
鐄噲礼[MASK], 常
麻漂母[MASK]朱斤, 鐄
麻漂母鐄[MASK]斤, 朱
姅份怯[MASK]份, 姅
姅[MASK]怯姅份, 份
[MASK]浪吀唉, 娘
娘[MASK]吀唉, 浪
[MASK]朱別碎报讎, 䀡
䀡[MASK]別碎报讎, 朱
[MASK]傳諸將献俘, 急
急傳諸將献[MASK], 俘
吏各跡犯[MASK]候查, 囚
吏[MASK]跡犯囚候查, 各
旗鎌捽[MASK], 匣
[MASK]鎌捽匣, 旗
[MASK]名首犯宦姐, 正
正名首犯[MASK]姐, 宦
賒娘[MASK]嘲, 㐌
[MASK]娘㐌嘲, 賒
小姐拱固碑[MASK]低, 旦
小姐拱固[MASK]旦低, 碑
[MASK]腿紅顔, 易
易腿紅[MASK], 顔
[MASK]孽強冤債饒, 強
強孽[MASK]冤債饒, 強
宦[MASK]魄落魂漂, 姐
[MASK]姐魄落魂漂, 宦
叩[MASK]帳攄條呌, 頭
叩頭帳[MASK]條呌, 攄
浪碎[MASK]弹, 胣
浪[MASK]胣弹, 碎
悭[MASK]拱些常情, 時
悭時拱些常[MASK], 情
朱欺閣曰[MASK], 京
朱欺閣[MASK]京, 曰
貝欺塊情[MASK]蹺, 拯
[MASK]欺塊情拯蹺, 貝
終渚易埃朝朱[MASK], 埃
終渚易埃[MASK]朱埃, 朝
啐它役蔠[MASK], 荄
[MASK]它役蔠荄, 啐
群量傷排[MASK]庄, 芇
群[MASK]傷排芇庄, 量
朱[MASK]㐌浪, 窖
朱窖[MASK]浪, 㐌
[MASK]頑旦墨呐能沛, 坤
坤頑旦墨呐能[MASK], 沛
[MASK]時拱枚, 他
他時[MASK]枚, 拱
[MASK]知過時, 㐌
㐌[MASK]過時, 知
傳軍令[MASK]前他, 帳
傳軍[MASK]帳前他, 令
娘浪弄[MASK]高, 弄
娘浪[MASK]弄高, 弄
害人人害[MASK]芇在[MASK],事 些
芇萡[MASK]萡, 幸
芇[MASK]幸萡, 萡
芇[MASK]犬芇楚卿, 鷹
芇鷹[MASK]芇楚卿, 犬
秀[MASK]馬監生, 貝
[MASK]貝馬監生, 秀
[MASK]鷹犬芇楚卿, 芇
芇鷹犬芇[MASK]卿, 楚
令軍傳[MASK], 刀
令[MASK]傳刀, 軍
誓[MASK]時吏據牢[MASK]刑,加 牢
淶[MASK]散情, 䏦
[MASK]䏦散情, 淶
埃埃魂[MASK]魄移, 驚
埃埃魂驚魄[MASK], 移
負拯欺[MASK]些, 負
負拯欺負[MASK], 些
萡[MASK]精魔, 惡
[MASK]惡精魔, 萡
命爫命呌[MASK]埃傷, 麻
命[MASK]命呌麻埃傷, 爫
軍[MASK]法場, 冬
軍冬法[MASK], 場
青天白日[MASK], 朱
青[MASK]白日朱, 天
役[MASK]报復皮耒, 娘
[MASK]娘报復皮耒, 役
緣倍㐌[MASK]歸, 辞
緣[MASK]㐌辞歸, 倍
娘浪千載一[MASK], 時
娘[MASK]千載一時, 浪
故人㐌易欺盤[MASK], 桓
故人㐌易欺[MASK]桓, 盤
耒低䕯合[MASK], 散
耒低[MASK]合散, 䕯
別[MASK]鶴内岸兜, 兜
別兜[MASK]内岸兜, 鶴
師浪拱[MASK]包, 拯
師[MASK]拱拯包, 浪
吏[MASK]妬麻, 﨤
吏﨤[MASK]麻, 妬
行腳方[MASK], 賒
[MASK]腳方賒, 行
﨤[MASK]三合本先知, 師
﨤師三合本[MASK]知, 先
朱會遇[MASK]期, 之
朱[MASK]遇之期, 會
買[MASK]定拯啉, 前
買前[MASK]拯啉, 定
㐌信[MASK]乙役, 條
㐌[MASK]條乙役, 信
[MASK]緣芇[MASK]歇兜倍咦,㐌 機
娘浪前[MASK]先知, 定
娘[MASK]前定先知, 浪
師[MASK]乙時拯差, 㐌
師㐌乙[MASK]拯差, 時
禍包[MASK]﨤, 固
禍[MASK]固﨤, 包
為碎[MASK]身, 終
為碎終[MASK], 身
緣吲[MASK]勤, 殷
緣[MASK]殷勤, 吲
[MASK]辞脱㐌移蹎外, 謝
謝辞脱㐌移[MASK]外, 蹎
娘自[MASK]怨攊, 恩
娘[MASK]恩怨攊, 自
冤㐌潙[MASK], 潙
冤[MASK]潙潙, 㐌
謝恩徐[MASK], 公
謝[MASK]徐公, 恩
身蒲[MASK]芇懞固, 柳
身蒲柳芇[MASK]固, 懞
如拮挭[MASK], 睹
如[MASK]挭睹, 拮
湛劄胣[MASK]之, 挈
[MASK]劄胣挈之, 湛
徐[MASK]國士, 浪
徐浪國[MASK], 士
知[MASK]特庄, 己
知己[MASK]庄, 特
英䧺㗂㐌噲[MASK], 浪
[MASK]䧺㗂㐌噲浪, 英
塘欺不平[MASK]他, 麻
塘[MASK]不平麻他, 欺
況之拱[MASK], 茄
[MASK]之拱茄, 況
[MASK]深謝買知恩, 路
路深謝買[MASK]恩, 知
[MASK]娘群双親, 㤕
㤕娘群[MASK]親, 双
悲几越[MASK]隔賒, 秦
悲几越秦[MASK]賒, 隔
[MASK]傳席軍中, 倍
倍傳[MASK]軍中, 席
兵將[MASK]同洗冤, 會
兵將會[MASK]洗冤, 同
[MASK]機竹扯瓦散, 乘
乘機竹[MASK]瓦散, 扯
兵[MASK]自妬攔外, 威
兵威自[MASK]攔外, 妬
文武攊堆山[MASK], 河
文武攊[MASK]山河, 堆
縣城踏睹座[MASK]南, 海
縣[MASK]踏睹座海南, 城
仍[MASK]架襖襊詫咦, 類
仍類架襖襊[MASK]咦, 詫
迎[MASK]边陲, 昂
[MASK]昂边陲, 迎
少咦[MASK]寡少咦伯[MASK],孤 王
旗埃[MASK]爭強, 监
[MASK]埃监爭強, 旗
雄[MASK]方海瀕, 據
雄據[MASK]海瀕, 方
[MASK]官總督重臣, 固
固官[MASK]督重臣, 總
[MASK]宗憲經綸才, 胡
胡宗憲[MASK]綸才, 經
車旨[MASK]差, 特
[MASK]旨特差, 車
便宜撫剿外董[MASK], 戎
[MASK]宜撫剿外董戎, 便
別徐[MASK]䧺, 英
[MASK]徐英䧺, 別
別娘[MASK]預軍中論[MASK],拱 盤
埬軍[MASK]斫招安, 爫
埬[MASK]爫斫招安, 軍
封[MASK]礼差官説降, 書
[MASK]書礼差官説降, 封
吏礼貝[MASK], 娘
吏礼[MASK]娘, 貝
彩女玉[MASK]斤, 鐄
彩女[MASK]鐄斤, 玉
徐公唉[MASK]糊塗, 分
[MASK]公唉分糊塗, 徐
闭[MASK]滝吳縱横, 楚
闭楚滝吳縱[MASK], 横
抪身貝朝[MASK], 廷
[MASK]身貝朝廷, 抪
[MASK]臣嚧咾分命兜, 降
降[MASK]嚧咾分命兜, 臣
倫儈公侯麻[MASK], 之
倫[MASK]公侯麻之, 儈
牢朋[MASK]陲, 边
[MASK]朋边陲, 牢
飭尼㐌[MASK]爫咦特, 易
[MASK]尼㐌易爫咦特, 飭
育昂芇別頭[MASK]埃, 固
育昂芇[MASK]頭固埃, 別
[MASK]時舌胣信, 娘
娘時舌胣[MASK], 信
㐌[MASK]落吏艱屯, 流
[MASK]流落吏艱屯, 㐌
朋[MASK]王臣, 㗂
朋㗂王[MASK], 臣
清[MASK]塘丐[MASK]雲狹咦,清 青
公[MASK]院奇皮, 私
公私院奇[MASK], 皮
寅茄耒[MASK]料故鄕, 仕
寅茄[MASK]仕料故鄕, 耒
拱命[MASK]堂堂, 婦
拱命婦[MASK]堂, 堂
囊眉焒媄[MASK], 吒
[MASK]眉焒媄吒, 囊
為渃[MASK]茄, 為
[MASK]渃為茄, 為
得孝[MASK]忠, 得
[MASK]孝得忠, 得
[MASK]欣隻柏, 拯
拯[MASK]隻柏, 欣
㳥駭雄渃[MASK], 沙
[MASK]駭雄渃沙, 㳥
因欺盘[MASK]賒, 萡
[MASK]欺盘萡賒, 因
乘機娘買盘[MASK], 呐
[MASK]機娘買盘呐, 乘
㐌泣滲㐌[MASK], 溇
[MASK]泣滲㐌溇, 㐌
平[MASK]功德闭, 成
[MASK]成功德闭, 平
埃埃拱隊[MASK]別包, 頭
埃[MASK]拱隊頭別包, 埃
埬無[MASK]㐌高朋頭, 定
[MASK]無定㐌高朋頭, 埬
爫之底[MASK], 㗂
[MASK]之底㗂, 爫
埃固兜黃[MASK], 巢
埃固[MASK]黃巢, 兜
[MASK]朋祿重權高, 牢
牢朋祿重權[MASK], 高
功名埃[MASK]朱戈, 芇
功名埃芇[MASK]戈, 朱
[MASK]徐買阻降, 攻
攻[MASK]買阻降, 徐
整儀接[MASK]倍傍, 使
整儀接使倍[MASK], 傍
期束甲決[MASK]解兵, 塘
期束[MASK]決塘解兵, 甲
信城[MASK]要盟, 下
信城下要[MASK], 盟
旗魚萼更[MASK]長, 雉
旗[MASK]萼更雉長, 魚
王師㐌[MASK]寔虚, 詳
王師㐌詳寔[MASK], 虚
[MASK]公決計乘機, 胡
胡公決計乘[MASK], 機
[MASK]先兵后[MASK]期襲攻,礼 刻
捁旗招撫先[MASK], 鋒
捁旗招[MASK]先鋒, 撫
礼儀[MASK]博銅伏, 攔
[MASK]儀攔博銅伏, 礼
徐公哬[MASK]兜, 別
徐[MASK]哬別兜, 公
大冠礼[MASK]投轅, 服
大冠礼服[MASK]轅, 投
胡公暗號[MASK]前, 陣
胡公[MASK]號陣前, 暗
皮發銃边[MASK]旗, 捁
[MASK]發銃边捁旗, 皮
登欺不意[MASK], 埃
登欺[MASK]意埃, 不
欺[MASK]沙機拱, 㐌
欺㐌沙機[MASK], 拱
死生料[MASK]前, 陣
[MASK]生料陣前, 死
惮朱[MASK]肝連將軍, 別
[MASK]朱別肝連將軍, 惮
氣欺[MASK]神, 㐌
氣[MASK]㐌神, 欺
然然群[MASK]蹎, 墫
然[MASK]群墫蹎, 然
猪如跢[MASK]銅, 如
猪如跢如[MASK], 銅
埃拯轉埃搈拯[MASK], 移
埃拯轉埃[MASK]拯移, 搈
㗀㗀殺[MASK]埃當, 氣
㗀㗀[MASK]氣埃當, 殺
濠外壘散[MASK], 荒
[MASK]外壘散荒, 濠
乱軍皮娘旦[MASK], 坭
乱軍皮[MASK]旦坭, 娘
徐群猪[MASK], 猪
徐[MASK]猪猪, 群
[MASK]浪智勇固乘, 哭
哭浪智勇[MASK]乘, 固
妾旦機會[MASK], 尼
妾旦機[MASK]尼, 會
秋如[MASK]干愁, 澮
秋如澮干[MASK], 愁
娘拱招[MASK]边, 頭
娘拱招頭[MASK], 边
[MASK]冤氣相纏, 台
台冤氣相[MASK], 纏
[MASK]皮伏徐連我, 娘
娘皮伏[MASK]連我, 徐
官軍几吏[MASK], 戈
官軍[MASK]吏戈, 几
㤕娘仕[MASK]㩫寅寅, 吏
[MASK]娘仕吏㩫寅寅, 㤕
引旦中[MASK], 軍
引[MASK]中軍, 旦
[MASK]公殷勤, 胡
胡[MASK]殷勤, 公
浪娘分紅[MASK], 顔
浪[MASK]分紅顔, 娘
﨤[MASK]兵革難拱傷, 干
﨤干兵革[MASK]拱傷, 難
㐌成算[MASK]堂, 廟
㐌[MASK]算廟堂, 成
功拱固[MASK]買, 娘
功拱[MASK]娘買, 固
悲事㐌[MASK]全, 萬
[MASK]事㐌萬全, 悲
默闷吀皮[MASK], 芇
默闷[MASK]皮芇, 吀
娘[MASK]湥玉, 強
[MASK]強湥玉, 娘
買濕高[MASK], 事
[MASK]濕高事, 買
浪徐英[MASK], 雄
浪徐[MASK]雄, 英
育昂[MASK]摓, 捤
育昂捤[MASK], 摓
身百戰爫[MASK]朝廷, 碎
身[MASK]戰爫碎朝廷, 百
夫貴婦[MASK], 榮
夫貴[MASK]榮, 婦
埃丿[MASK]晴, 散
[MASK]丿散晴, 埃
命補戰[MASK]如空, 場
命[MASK]戰場如空, 補
窖計[MASK]功, 爫
窖計爫[MASK], 功
計包饒[MASK]閉饒, 吏
[MASK]包饒吏閉饒, 計
乘碎㐌料命[MASK], 碎
乘碎㐌料[MASK]碎, 命
吀朱淺土[MASK], 堆
[MASK]朱淺土堆, 吀
噲塔店[MASK]生, 死
噲塔[MASK]死生, 店
胡公呐傷[MASK], 情
胡[MASK]呐傷情, 公
傳朱稿[MASK]遺形边[MASK],喪 滝
軍中席賀[MASK], 功
軍[MASK]席賀功, 中
敲絲竹會同軍[MASK], 官
敲[MASK]竹會同軍官, 絲
[MASK]娘侍宴幔, 扒
扒[MASK]侍宴幔, 娘
醝[MASK]押紊彈日奏, 吏
醝吏押紊彈[MASK]奏, 日
[MASK]吟猿唿芇齊, 蟡
蟡吟猿唿[MASK]齊, 芇
[MASK]胡拱眉淶珠, 律
律胡拱眉淶[MASK], 珠
[MASK]尼曲於兜, 浪
浪尼曲於[MASK], 兜
浪萡命[MASK]尼, 曲
浪萡[MASK]曲尼, 命
譜[MASK]意仍群疎, 弹
譜弹意[MASK]群疎, 仍
[MASK]琴攄仍, 宮
宮琴攄[MASK], 仍
麻萡命[MASK]低, 悲
[MASK]萡命悲低, 麻
強強[MASK]強醝, 㴷
強[MASK]㴷強醝, 強
酉[MASK]鉄拱為情, 朱
酉朱鉄[MASK]為情, 拱
浪香焒[MASK], 生
浪香[MASK]生, 焒
[MASK]吀綏琴朱埃, 鵉
鵉吀[MASK]琴朱埃, 綏
[MASK]分落類, 浪
浪分落[MASK], 類
命㐌固托[MASK], 冤
命㐌固[MASK]冤, 托
群之女花[MASK], 殘
群[MASK]女花殘, 之
絲㐌彈[MASK]燐, 小
絲㐌彈小[MASK], 燐
[MASK]群紅裙, 傷
傷[MASK]紅裙, 群
唏殘特㭲枌[MASK], 枚
唏[MASK]特㭲枌枚, 殘
賀功㐌過[MASK], 醝
賀功㐌[MASK]醝, 過
命方面國[MASK], 家
命[MASK]面國家, 方
[MASK]尼別[MASK]世芇特低,事 并
公衙皮[MASK], 貝
公衙[MASK]貝, 皮
決情胡買断[MASK], 排
決情胡買[MASK]排, 断
令官埃[MASK], 改
[MASK]官埃改, 令
押情買擀[MASK]土官, 朱
押情買擀朱土[MASK], 官
[MASK]絲寔多端, 翁
